video,start,text,entities
1,0,"I: Also liebe Ursula, im Namen von SAPA möchte ich dich erstmal ganz, ganz herzlich begrüssen zum Oral History Interview. Wir werden heute eine Reise machen, eine biografische Reise durch dein ganzes Leben und folglich werde ich dich mit der Kindheit anstossen und möchte gerne wissen:",Oral History;SAPA;Ursula
1,20,"Gab es sowas wie eine Initialzündung? Gab es irgendwas in deiner Kindheit, was vielleicht da schon eine Anlage war, dass du dich später dermassen intensiv mit dem Tanz, mit dem klassischen Tanz auseinandergesetzt hast?",
1,33,"P: Also ich bin Zürich geboren und in Zürich aufgewachsen, ganz am Stadtrand oben am Friesenberg und da ist man eigentlich halb auf dem Land. Es ist wie ein Dorf das Quartier und wir waren sehr viel in der Natur mit meiner Familie. Ich bin in einer quasi Bergsteiger-Familie geboren.",Bergsteiger-Familie;Friesenberg;P;Zürich;Zürich
1,58,"Mein Bruder wurde nachher auch Bergführer und wir waren eigentlich immer in den Bergen. Wir waren jede Woche auf dem Uetliberg, wir sind jeden Samstag anstatt in die Kirche in die Berge irgendwo laufen gegangen und im Winter waren wir Skifahren.",Bergen;Kirche;Mein Bruder;Uetliberg
1,72,"Da war eigentlich nichts mit Tanz. Und als ich mich dann bewegen wollte, dann haben meine Eltern mich selbstverständlich in die Rhythmik geschickt und da habe ich da so mit farbigen Tüchern zu der Musik, wie man die Rhythmik … Weil meine Eltern waren eigentlich eher gegen starre Strukturen.",
1,97,"Sie waren selbst im Wandervogel und sie haben auch nicht verstanden als ich später kurze Zeit bei den Pfadfindern war, weil sie hatten immer das Gefühl man müsste etwas freiheitliches machen und darum bin ich dann ins Rhythmik, aber es hat mich dann nicht besonders begeistert.",Wandervogel
1,111,"Und dann habe ich natürlich Klavier gespielt. Und ein wichtiges Erlebnis für mich war natürlich als mich meine Gotte mit 4 Jahren das erste Mal ins Weihnachtsmärchen mitgenommen hat, ins Theater. Und dort haben sie natürlich auch getanzt auf der Bühne.",Weihnachtsmärchen
1,129,"Ich war total begeistert. Meine Gotte hat Plätze in der ersten Reihe und ich habe da … bin dem allen gefolgt und habe nachher gesagt; aber diese Leute seien sicher von sehr weit weg, weil die reden ja eine ganz andere Sprache.",Meine Gotte
1,146,"Weil ich habe das Hochdeutsch von dieser Aufführung gar nicht verstanden. Es hatte aber immer dort, auf einmal in den Weihnachtsmärchen, hatte es dort eine lustige Person, die Mundart geredet hat, die vermittelt hat. Und ich bin dann jedes Jahr ins Weihnachtsmärchen natürlich.",Weihnachtsmärchen;Weihnachtsmärchen
1,161,"Und an richtige Tanzsachen habe ich mich dann … mag ich mich erst erinnern als meine Familie mich dann mit in die Operette nahm. Und dort hatte es so wunderschöne Tänzerinnen, die Operette getanzt haben und das hat mir sehr gefallen, aber ich würde sagen mindestens so viel Eindruck hat mir ein Sänger/Tänzer/Darsteller gemacht, das war der Röden.",Röden
1,189,"Der konnte gleichzeitig tanzen und singen und seine Rolle spielen und ich habe gewusst, dass meine Grossmutter schwärmt für diesen. Ich habe aber auch gewusst; der ist gleich alt wie meine Grossmutter. Und wenn ich hier neben meiner Grossmutter gesessen bin, habe ich gedacht, das ist ja verrückt, dass einer auf der Bühne so kann tanzen.",
